County,MedianFamilyIncome,LATracts_half,LATracts1,HUNVFlag
Gentry County,55141.0,0,0,0.0
George County,54889.0,1,0,0.4
Georgetown County,52241.5,5,5,0.5
Gibson County,53217.5,7,6,0.2
Gila County,48587.5,6,5,0.25
Gilchrist County,57500.0,0,0,0.0
Giles County,56621.0,0,0,0.08333333333333333
Gillespie County,62454.0,0,0,0.4
Gilliam County,52917.0,0,0,0.0
Gilmer County,58125.0,3,3,0.42857142857142855
Gilpin County,90424.0,0,0,1.0
Glacier County,60815.0,1,1,0.0
Glades County,48984.0,1,1,0.3333333333333333
Gladwin County,51471.0,1,1,0.3333333333333333
Glascock County,52000.0,0,0,0.0
Glasscock County,75583.0,0,0,0.0
Glenn County,57973.0,3,2,0.16666666666666666
Gloucester County,95203.0,56,42,0.23943661971830985
Glynn County,56941.0,13,11,0.3333333333333333
Gogebic County,54167.0,2,0,0.2857142857142857
Golden Valley County,59323.5,0,0,0.0
Goliad County,77930.5,0,0,0.5
Gonzales County,60134.5,3,2,0.16666666666666666
Goochland County,102016.0,0,0,0.0
Goodhue County,85081.5,3,3,0.2
Gooding County,60619.5,0,0,0.0
Gordon County,48702.0,4,3,0.5555555555555556
Goshen County,67163.0,0,0,0.0
Gosper County,82697.0,0,0,0.0
Gove County,61778.0,0,0,0.0
Grady County,59285.0,5,3,0.125
Grafton County,77891.0,2,1,0.3157894736842105
Graham County,57083.5,4,3,0.21428571428571427
Grainger County,50746.0,0,0,0.2
Grand County,73061.0,1,1,0.2
Grand Forks County,71750.0,14,6,0.3333333333333333
Grand Isle County,85179.0,0,0,0.0
Grand Traverse County,74344.0,8,5,0.1875
Granite County,55691.0,0,0,0.0
Grant County,60611.0,25,20,0.21333333333333335
Grant Parish,54450.0,0,0,0.2
Granville County,61218.0,3,3,0.25
Gratiot County,57656.0,3,3,0.2222222222222222
Graves County,58281.0,2,2,0.1111111111111111
Gray County,61124.0,6,3,0.1111111111111111
Grays Harbor County,57014.5,7,5,0.1875
Grayson County,54816.5,12,11,0.23684210526315788
Greeley County,61347.0,0,0,0.0
Green County,67679.0,4,4,0.08333333333333333
Green Lake County,68387.0,2,1,0.16666666666666666
Greenbrier County,51649.0,2,2,0.7142857142857143
Greene County,60602.0,92,55,0.23756906077348067
Greenlee County,61555.0,1,0,0.0
Greensville County,56618.5,0,0,0.5
Greenup County,55369.0,5,4,0.0
Greenville County,66289.0,91,63,0.24324324324324326
Greenwood County,56800.0,6,4,0.29411764705882354
Greer County,57212.5,1,1,0.0
Gregg County,60884.0,20,14,0.5416666666666666
Gregory County,63082.5,0,0,0.0
Grenada County,44578.0,3,1,0.4
Griggs County,74722.0,0,0,0.0
Grimes County,62292.0,0,0,0.4
Grundy County,74758.5,7,7,0.13636363636363635
Guadalupe County,76107.5,19,13,0.06666666666666667
Guernsey County,56524.0,5,3,0.6
Guilford County,62671.5,103,56,0.22033898305084745
Gulf County,53333.0,0,0,0.0
Gunnison County,72965.5,1,0,0.0
Guthrie County,71544.0,0,0,0.0
Gwinnett County,72188.0,110,79,0.168141592920354
Haakon County,39861.0,0,0,0.0
Habersham County,55834.5,2,2,0.375
Haines Borough,76719.0,0,0,0.0
Hale County,54276.0,5,2,0.13333333333333333
Halifax County,45543.0,7,4,0.6666666666666666
Hall County,68988.0,31,21,0.09803921568627451
Hamblen County,53404.5,10,9,0.25
Hamilton County,70990.0,303,195,0.32132963988919666
Hamlin County,69220.5,0,0,0.0
Hampden County,67679.0,79,37,0.3592233009708738
Hampshire County,89215.5,22,19,0.5
Hampton County,43291.0,0,0,0.2
Hampton city,60795.0,33,15,0.30303030303030304
Hancock County,66538.0,27,22,0.2876712328767123
Hand County,72539.0,0,0,0.0
Hanover County,103036.0,12,11,0.043478260869565216
Hansford County,43600.0,0,0,0.0
Hanson County,76174.0,0,0,0.0
Haralson County,50304.0,1,1,0.4
Hardee County,48997.5,1,1,0.16666666666666666
Hardeman County,52522.0,0,0,0.2857142857142857
Hardin County,66083.0,27,22,0.18867924528301888
Harding County,52734.5,0,0,0.0
Hardy County,52571.0,0,0,0.3333333333333333
Harford County,105707.0,44,27,0.14035087719298245
Harlan County,35094.0,2,1,0.5
Harmon County,52396.0,0,0,0.0
Harnett County,56908.0,8,8,0.3333333333333333
Harney County,55507.0,1,1,0.0
Harper County,61023.0,0,0,0.0
Harris County,61201.0,659,269,0.15374841168996187
Harrison County,59375.0,54,41,0.2621359223300971
Harrisonburg city,61734.0,10,2,0.09090909090909091
Hart County,46954.0,0,0,0.6
Hartford County,90650.0,166,101,0.22727272727272727
Hartley County,66161.0,0,0,0.0
Harvey County,64937.5,3,1,0.16666666666666666
Haskell County,56438.0,1,1,0.0
Hawaii County,70536.0,13,11,0.24242424242424243
Hawkins County,49103.0,4,4,0.3076923076923077
Hayes County,64286.0,0,0,0.0
Hays County,83284.5,6,4,0.20833333333333334
Haywood County,59342.0,8,5,0.19047619047619047
Heard County,59276.0,0,0,0.3333333333333333
Hemphill County,67257.0,0,0,0.0
Hempstead County,53269.0,2,2,0.4
Henderson County,59293.0,24,15,0.2222222222222222
Hendricks County,85439.0,15,12,0.09523809523809523
Hendry County,44216.5,2,1,0.6666666666666666
Hennepin County,95140.5,231,112,0.1836734693877551
Henrico County,76365.0,55,29,0.2222222222222222
Henry County,62019.0,50,42,0.1941747572815534
Herkimer County,66342.0,7,3,0.3684210526315789
Hernando County,54433.5,31,25,0.13636363636363635
Hertford County,43827.0,1,1,0.6
Hettinger County,67839.5,0,0,0.0
Hickman County,52321.0,0,0,0.42857142857142855
Hickory County,49301.0,0,0,0.0
Hidalgo County,40042.0,96,67,0.34513274336283184
Highland County,55354.0,2,1,0.4
Highlands County,42747.5,13,9,0.2916666666666667
Hill County,59858.0,6,3,0.058823529411764705
Hillsborough County,71304.0,321,190,0.17391304347826086
Hillsdale County,55684.5,2,2,0.25
Hinds County,43265.5,56,35,0.328125
Hinsdale County,64196.0,0,0,0.0
Hitchcock County,56375.0,0,0,0.0
Hocking County,57578.0,1,1,0.42857142857142855
Hockley County,60719.0,3,3,0.14285714285714285
Hodgeman County,70938.0,0,0,0.0
Hoke County,49004.5,2,2,0.375
Holmes County,51806.0,2,2,0.8235294117647058
Holt County,67841.0,1,1,0.0
Honolulu County,100268.0,155,82,0.10526315789473684
Hood County,77083.5,4,3,0.1
Hood River County,71722.0,2,1,0.0
Hooker County,59167.0,0,0,0.0
Hoonah-Angoon Census Area,63672.0,0,0,0.5
Hopewell city,45219.5,5,4,0.3333333333333333
Hopkins County,58245.0,9,6,0.19047619047619047
Horry County,56180.5,43,24,0.12857142857142856
Hot Spring County,52665.0,3,3,0.42857142857142855
Hot Springs County,70459.5,1,0,0.0
Houghton County,61777.0,4,2,0.3
Houston County,54498.5,35,26,0.26666666666666666
Howard County,100587.5,73,41,0.19791666666666666
Howell County,45292.5,2,2,0.75
Hubbard County,65893.0,1,0,0.0
Hudson County,64384.5,28,3,0.0975609756097561
Hudspeth County,31165.0,0,0,0.0
Huerfano County,51968.5,1,0,0.0
Hughes County,59750.0,4,3,0.1111111111111111
Humboldt County,64396.0,19,8,0.18421052631578946
Humphreys County,47979.0,2,1,0.375
Hunt County,65679.0,6,5,0.21052631578947367
Hunterdon County,133807.0,11,9,0.038461538461538464
Huntingdon County,57827.5,1,0,0.08333333333333333
Huntington County,62647.0,5,4,0.3333333333333333
Huron County,60313.0,7,6,0.2
Hutchinson County,65281.5,5,2,0.0
Hyde County,54735.0,0,0,0.0
Iberia Parish,53710.0,9,4,0.5333333333333333
Iberville Parish,52159.0,2,1,0.42857142857142855
Ida County,73789.0,0,0,0.0
Idaho County,50861.0,0,0,0.2
Imperial County,45391.0,19,10,0.3333333333333333
Independence County,53414.5,1,1,0.25
Indian River County,60605.0,24,19,0.27586206896551724
Indiana County,61868.0,6,3,0.36363636363636365
Ingham County,66160.0,57,44,0.44285714285714284
Inyo County,69214.0,2,1,0.16666666666666666
Ionia County,61399.0,5,3,0.3333333333333333
Iosco County,50430.0,2,2,0.2222222222222222
Iowa County,75544.0,1,0,0.0
Iredell County,66016.0,22,17,0.045454545454545456
Irion County,76389.0,0,0,0.0
Iron County,56666.5,6,4,0.15
Iroquois County,62745.0,1,1,0.1111111111111111
Irwin County,48518.5,0,0,0.5
Isabella County,60995.0,5,2,0.15384615384615385
Isanti County,84418.5,3,3,0.125
Island County,76302.0,6,3,0.047619047619047616
Isle of Wight County,85500.0,3,3,0.125
Issaquena County,37222.0,0,0,0.0
Itasca County,61156.0,2,2,0.18181818181818182
Itawamba County,47237.0,1,1,0.2
Izard County,50579.5,0,0,0.25
Jack County,67250.0,1,1,0.0
Jackson County,58693.0,266,160,0.3073286052009456
Jackson Parish,47188.0,1,1,0.8
James City County,97036.0,9,7,0.18181818181818182
Jasper County,59133.0,25,16,0.21311475409836064
Jay County,60323.0,3,3,0.2857142857142857
Jeff Davis County,45764.5,1,1,0.5
Jefferson County,67478.0,584,325,0.2614795918367347
Jefferson Davis County,47083.0,0,0,0.6666666666666666
Jefferson Davis Parish,56676.0,4,2,0.5714285714285714
Jefferson Parish,65916.5,98,29,0.18548387096774194
Jenkins County,44124.0,0,0,0.5
Jennings County,60499.5,2,2,0.3333333333333333
Jerauld County,66406.0,0,0,0.0
Jerome County,52778.0,2,1,0.0
Jersey County,79824.0,1,1,0.16666666666666666
Jessamine County,60472.0,6,4,0.2222222222222222
Jewell County,51606.0,0,0,0.0
Jim Hogg County,43331.0,1,1,0.5
Jim Wells County,56563.0,5,5,0.5714285714285714
Jo Daviess County,72467.5,1,1,0.0
Johnson County,82118.0,167,82,0.1483050847457627
Johnston County,58938.5,6,4,0.17857142857142858
Jones County,61655.0,10,8,0.2727272727272727
Josephine County,50702.0,7,4,0.4375
Juab County,69194.5,1,1,0.0
Judith Basin County,58750.0,0,0,0.0
Juneau City and Borough,113768.5,2,2,0.3333333333333333
Juneau County,63456.0,1,1,0.0
Juniata County,63514.0,0,0,0.6
Kalamazoo County,72500.0,43,26,0.3333333333333333
Kalawao County,123750.0,0,0,0.0
Kalkaska County,54816.0,0,0,0.2
Kanabec County,65364.0,1,1,0.0
Kanawha County,56435.0,31,22,0.40384615384615385
Kandiyohi County,76500.5,6,4,0.25
Kane County,84255.0,76,42,0.19047619047619047
Kankakee County,69056.0,17,9,0.27586206896551724
Karnes County,61816.5,1,1,0.25
Kauai County,87724.0,6,6,0.23076923076923078
Kaufman County,71580.0,5,5,0.16666666666666666
Kay County,56667.0,9,7,0.36363636363636365
Kearney County,76479.5,1,0,0.0
Kearny County,57045.0,0,0,0.0
Keith County,63468.0,1,1,0.3333333333333333
Kemper County,33951.5,0,0,1.0
Kenai Peninsula Borough,79074.0,1,1,0.46153846153846156
Kendall County,96519.5,8,7,0.25
Kenedy County,40625.0,0,0,0.0
Kennebec County,66910.0,7,3,0.25806451612903225
Kenosha County,73013.0,28,19,0.3142857142857143
Kent County,72592.5,147,81,0.27941176470588236
Kenton County,73034.0,32,19,0.2926829268292683
Keokuk County,66484.5,0,0,0.0
Kern County,51577.0,121,44,0.19863013698630136
Kerr County,61271.0,2,2,0.1
Kershaw County,49091.0,6,6,0.13333333333333333
Ketchikan Gateway Borough,86411.5,2,0,0.25
Kewaunee County,75546.0,1,0,0.0
Keweenaw County,65125.0,0,0,0.0
Keya Paha County,55250.0,0,0,0.0
Kidder County,62132.0,0,0,0.0
Kimball County,61577.0,0,0,0.0
Kimble County,52310.5,1,0,0.0
King County,111393.0,316,134,0.16876574307304787
King George County,97099.0,1,1,0.2
King William County,77445.0,1,1,0.0
King and Queen County,64276.0,0,0,0.0
Kingfisher County,74281.5,1,1,0.0
Kingman County,69808.0,1,1,0.0
Kings County,65395.0,49,9,0.02600780234070221
Kingsbury County,70410.5,0,0,0.0
Kinney County,54083.0,1,1,0.0
Kiowa County,50048.0,1,0,0.0
Kit Carson County,64205.0,0,0,0.0
Kitsap County,82736.0,43,31,0.16981132075471697
Kittitas County,66837.0,3,3,0.125
Kittson County,73493.0,0,0,0.0
Klamath County,54587.5,10,5,0.15
Kleberg County,54063.0,4,4,0.6
Klickitat County,62730.0,0,0,0.0
Knott County,36786.0,0,0,1.0
Knox County,63992.0,117,87,0.2558139534883721
Kodiak Island Borough,83750.0,3,3,0.4
Koochiching County,63266.5,2,2,0.0
Kootenai County,66559.0,17,9,0.12
Kosciusko County,68310.0,6,5,0.15789473684210525
Kossuth County,66881.0,2,2,0.0
Kusilvak Census Area,35354.0,0,0,1.0
La Crosse County,75875.0,17,9,0.16
La Paz County,46908.0,1,0,0.2857142857142857
La Plata County,89567.0,4,3,0.0
La Salle County,53699.0,0,0,0.0
LaGrange County,69077.0,1,1,0.75
LaMoure County,76321.5,0,0,0.0
LaPorte County,62905.5,17,13,0.35714285714285715
LaSalle County,69804.0,16,11,0.17857142857142858
LaSalle Parish,51140.0,1,1,0.3333333333333333
Labette County,57647.5,3,2,0.0
Lac qui Parle County,66181.0,0,0,0.0
Lackawanna County,63252.0,38,14,0.288135593220339
Laclede County,56411.5,4,4,0.5
Lafayette County,65145.0,5,5,0.34615384615384615
Lafayette Parish,66234.5,36,20,0.40476190476190477
Lafourche Parish,61544.0,15,11,0.34782608695652173
Lake County,70500.0,331,224,0.2161520190023753
Lake and Peninsula Borough,48984.0,0,0,1.0
Lake of the Woods County,65363.0,0,0,0.0
Lamar County,56113.5,12,9,0.34615384615384615
Lamb County,52813.0,1,0,0.0
Lamoille County,70945.0,0,0,0.0
Lampasas County,71848.0,1,1,0.2
Lancaster County,72995.0,125,73,0.3825136612021858
Lander County,102390.0,0,0,0.0
Lane County,63859.0,55,29,0.19540229885057472
Langlade County,59918.5,2,2,0.3333333333333333
Lanier County,46863.0,0,0,0.5
Lapeer County,67500.0,5,4,0.13043478260869565
Laramie County,76842.0,17,15,0.05
Larimer County,85414.0,56,28,0.1527777777777778
Larue County,49654.5,1,1,0.25
Las Animas County,54435.0,3,0,0.16666666666666666
Lassen County,63750.0,1,1,0.1111111111111111
Latah County,65103.0,4,4,0.14285714285714285
Latimer County,49722.0,0,0,0.3333333333333333
Lauderdale County,57120.0,24,17,0.4489795918367347
Laurel County,49226.0,5,4,0.5384615384615384
Laurens County,49419.5,9,8,0.36666666666666664
Lavaca County,69535.5,1,1,0.16666666666666666
Lawrence County,55560.0,41,24,0.2571428571428571
Le Flore County,50370.0,3,3,0.16666666666666666
Le Sueur County,79085.5,1,1,0.0
Lea County,65443.0,13,7,0.05555555555555555
Leake County,45653.0,1,1,0.8
Leavenworth County,83209.5,10,9,0.3125
Lebanon County,74688.0,19,11,0.16129032258064516
Lee County,63085.0,187,139,0.2462686567164179
Leelanau County,73923.5,0,0,0.0
Leflore County,28296.0,5,5,0.625
Lehigh County,74776.0,53,27,0.18421052631578946
Lemhi County,53482.0,0,0,0.0
Lenawee County,59937.0,10,10,0.17391304347826086
Lenoir County,44247.0,10,7,0.5333333333333333
Leon County,64375.0,50,32,0.3188405797101449
Leslie County,36087.0,0,0,1.0
Letcher County,35781.0,0,0,0.42857142857142855
Levy County,47000.0,1,1,0.2222222222222222
Lewis County,56181.0,9,5,0.2222222222222222
Lewis and Clark County,81047.0,5,4,0.14285714285714285
Lexington County,70170.0,48,34,0.1506849315068493
Lexington city,69677.0,1,0,0.0
Liberty County,54882.0,10,8,0.25806451612903225
Licking County,75335.0,22,19,0.28125
Limestone County,60319.5,7,5,0.25
Lincoln County,63315.0,37,26,0.18620689655172415
Lincoln Parish,57546.5,6,5,0.4
Linn County,67295.0,51,32,0.2602739726027397
Lipscomb County,72795.0,0,0,0.0
Litchfield County,100357.0,24,17,0.17647058823529413
Little River County,57334.0,0,0,0.25
Live Oak County,61865.0,0,0,0.0
Livingston County,82891.0,40,32,0.13186813186813187
Livingston Parish,70345.0,8,8,0.5294117647058824
Llano County,62914.5,2,2,0.16666666666666666
Logan County,60150.0,16,12,0.40350877192982454
Long County,61889.0,0,0,0.5
Lonoke County,61237.5,6,4,0.125
Lorain County,68397.5,59,36,0.2777777777777778
Los Alamos County,140766.0,4,3,0.25
Los Angeles County,68750.0,1387,277,0.07270352633870265
Loudon County,60035.5,3,3,0.2
Loudoun County,153716.5,50,25,0.078125
Louisa County,72557.0,0,0,0.2222222222222222
Loup County,64375.0,0,0,0.0
Love County,68618.0,0,0,0.0
Loving County,101042.0,0,0,0.0
Lowndes County,50833.0,24,16,0.3488372093023256
Lubbock County,60447.0,51,18,0.1875
Lucas County,54959.5,104,38,0.34615384615384615
Luce County,55000.0,1,1,0.0
Lumpkin County,53889.5,0,0,0.25
Luna County,44979.0,4,3,0.8333333333333334
Lunenburg County,52793.0,0,0,0.3333333333333333
Luzerne County,63556.0,63,29,0.22330097087378642
Lycoming County,68317.0,16,9,0.3448275862068966
Lyman County,51267.5,0,0,0.0
Lynchburg city,50685.0,18,9,0.5263157894736842
Lynn County,52366.0,1,0,0.0
Lyon County,65915.0,12,8,0.16666666666666666
Mackinac County,52050.0,0,0,0.4
Macomb County,69630.0,194,88,0.19339622641509435
Macon County,53841.0,38,24,0.34328358208955223
Macoupin County,66042.0,4,1,0.07692307692307693
Madera County,64844.0,9,5,0.13043478260869565
Madison County,64545.0,200,141,0.27936507936507937
Madison Parish,35357.0,3,0,0.2
Magoffin County,38796.5,0,0,0.5
Mahaska County,64786.0,4,2,0.14285714285714285
Mahnomen County,54167.0,0,0,0.0
Mahoning County,49956.5,59,38,0.2714285714285714
Major County,63667.0,0,0,0.0
Malheur County,55417.0,2,1,0.14285714285714285
Manassas Park city,88589.5,2,2,0.0
Manassas city,78750.0,6,3,0.14285714285714285
Manatee County,64227.0,67,40,0.1794871794871795
Manistee County,59583.0,2,1,0.0
Manitowoc County,68284.0,12,9,0.2631578947368421
Marathon County,72695.0,14,9,0.18518518518518517
Marengo County,46246.5,1,1,0.3333333333333333
Maricopa County,70451.0,801,333,0.15282392026578073
Maries County,60128.0,0,0,0.3333333333333333
Marin County,144279.5,42,14,0.07407407407407407
Marinette County,56217.5,3,2,0.25
Marion County,53762.0,324,185,0.36423841059602646
Mariposa County,58838.0,0,0,0.0
Marlboro County,46250.0,2,2,0.5714285714285714
Marquette County,63050.0,10,5,0.10344827586206896
Marshall County,61159.0,28,25,0.27058823529411763
Martin County,68689.0,34,28,0.25925925925925924
Martinsville city,31438.0,5,3,0.6
Mason County,59375.0,11,7,0.1951219512195122
Massac County,53519.5,2,1,0.25
Matagorda County,56356.5,3,2,0.2
Matanuska-Susitna Borough,84345.5,7,7,0.041666666666666664
Mathews County,74974.0,0,0,0.0
Maui County,85442.5,22,15,0.08823529411764706
Maury County,63873.0,8,7,0.11764705882352941
Maverick County,42576.0,8,4,0.2222222222222222
Mayes County,55761.0,2,2,0.2222222222222222
McClain County,72122.0,1,1,0.16666666666666666
McCone County,59450.0,0,0,0.0
McCook County,73672.0,0,0,0.0
McCormick County,53750.0,0,0,0.6666666666666666
McCracken County,58571.0,14,13,0.5882352941176471
McCreary County,33856.5,0,0,0.5
McCulloch County,60833.0,1,1,0.3333333333333333
McCurtain County,43981.5,2,2,0.375
McDonald County,45989.0,0,0,0.75
McDonough County,63816.0,6,5,0.3333333333333333
McDowell County,44918.5,2,1,0.4444444444444444
McDuffie County,49211.0,0,0,0.4
McHenry County,96226.0,41,34,0.12962962962962962
McIntosh County,52810.0,2,2,0.1
McKean County,58636.5,4,1,0.25
McKenzie County,86488.5,0,0,0.0
McKinley County,33162.0,6,4,0.5294117647058824
McLean County,79234.0,28,14,0.2222222222222222
McLennan County,59911.0,33,27,0.32653061224489793
McLeod County,77262.0,4,4,0.2857142857142857
McMinn County,53421.0,3,3,0.4
McMullen County,72750.0,0,0,0.0
McNairy County,47404.0,1,1,0.2857142857142857
McPherson County,69318.0,4,2,0.2222222222222222
Meade County,68767.5,4,4,0.07142857142857142
Meagher County,50750.0,0,0,0.0
Mecklenburg County,74977.0,212,94,0.19665271966527198
Mecosta County,58854.5,2,2,0.4
Medina County,85729.0,24,19,0.15555555555555556
Meeker County,74540.5,2,1,0.16666666666666666
Meigs County,53566.0,2,2,0.3333333333333333
Mellette County,36979.0,0,0,0.0
Menard County,81842.5,1,1,0.0
Mendocino County,60517.5,8,3,0.15
Menifee County,47667.5,0,0,0.5
Menominee County,54805.0,2,2,0.3333333333333333
Merced County,52917.0,29,15,0.14285714285714285
Mercer County,69536.5,93,54,0.3680555555555556
Meriwether County,47191.0,0,0,1.0
Merrick County,69464.0,1,1,0.0
Merrimack County,91732.5,10,9,0.16666666666666666
Mesa County,67083.0,22,13,0.1724137931034483
Metcalfe County,44474.0,0,0,0.0
Miami County,70833.0,20,13,0.1282051282051282
Miami-Dade County,54006.5,343,65,0.1383399209486166
Middlesex County,114583.0,420,223,0.2161654135338346
Midland County,83172.0,31,17,0.2222222222222222
Mifflin County,54200.5,6,3,0.5833333333333334
Milam County,57441.0,2,2,0.0
Millard County,65147.0,0,0,0.0
Mille Lacs County,61118.0,1,1,0.2857142857142857
Miller County,52416.0,8,4,0.2777777777777778
Mills County,85142.0,2,1,0.0
Milwaukee County,58454.0,205,31,0.272108843537415
Miner County,64643.0,0,0,0.0
Mineral County,57028.0,3,3,0.3333333333333333
Mingo County,40508.0,1,1,1.0
Minidoka County,57931.0,2,2,0.0
Minnehaha County,77099.5,30,13,0.16666666666666666
Missaukee County,49788.0,0,0,0.0
Mississippi County,43801.0,8,4,0.1875
Missoula County,68231.0,12,5,0.2
Mitchell County,57577.5,4,3,0.3125
Mobile County,52224.0,81,43,0.21428571428571427
Modoc County,53930.0,1,0,0.0
Moffat County,65275.5,3,3,0.0
Mohave County,51832.0,29,23,0.37209302325581395
Moniteau County,63049.0,2,1,0.25
Monmouth County,119204.5,127,70,0.19718309859154928
Mono County,81161.0,1,1,0.0
Monona County,63047.0,1,0,0.0
Monongalia County,74044.0,14,8,0.34782608695652173
Monroe County,70238.5,217,138,0.34574468085106386
Montague County,59646.0,2,1,0.0
Montcalm County,54143.0,1,1,0.46153846153846156
Monterey County,77083.5,54,16,0.044444444444444446
Montezuma County,58692.0,1,1,0.0
Montgomery County,85451.5,662,366,0.20531400966183574
Montmorency County,49344.0,0,0,0.0
Montour County,79591.5,2,1,0.5
Montrose County,58578.5,4,3,0.1
Moody County,74704.0,0,0,0.0
Moore County,68822.5,11,9,0.3333333333333333
Mora County,32563.0,0,0,1.0
Morehouse Parish,46902.5,3,3,0.625
Morgan County,60831.5,36,24,0.26136363636363635
Morrill County,58290.0,0,0,0.0
Morris County,139875.0,94,59,0.11428571428571428
Morrison County,67839.0,2,2,0.125
Morrow County,65955.0,0,0,0.375
Morton County,86303.5,2,1,0.16666666666666666
Motley County,61912.0,0,0,0.0
Moultrie County,66122.0,1,0,0.25
Mountrail County,85536.0,0,0,0.0
Mower County,72907.0,7,3,0.09090909090909091
Muhlenberg County,52679.0,2,1,0.1111111111111111
Multnomah County,83542.0,114,23,0.16568047337278108
Murray County,55085.5,3,3,0.07142857142857142
Muscatine County,67943.5,6,3,0.0
Muscogee County,45979.0,48,20,0.4230769230769231
Muskegon County,61729.0,31,26,0.3333333333333333
Muskingum County,57631.0,9,8,0.3157894736842105
Muskogee County,54203.0,10,5,0.375
Musselshell County,51459.0,0,0,0.0
Nacogdoches County,53102.0,6,4,0.23076923076923078
Nance County,59737.0,0,0,0.0
Nantucket County,116447.0,3,1,0.0
Napa County,99286.0,25,7,0.07894736842105263
Nash County,63999.5,8,7,0.5555555555555556
Nassau County,130208.0,229,46,0.08362369337979095
Natchitoches Parish,46185.0,4,2,0.4444444444444444
Natrona County,75444.0,11,7,0.16666666666666666
Navajo County,47054.0,8,7,0.45161290322580644
Navarro County,59410.5,2,2,0.3
Nelson County,71486.0,1,0,0.3076923076923077
Nemaha County,70000.0,2,1,0.0
Neosho County,54922.0,3,1,0.4
Neshoba County,44234.0,2,0,0.5714285714285714
Ness County,59462.5,0,0,0.0
Nevada County,79479.0,11,11,0.13043478260869565
New Castle County,83560.0,106,61,0.23255813953488372
New Hanover County,74476.0,41,26,0.3488372093023256
New Haven County,85368.0,164,95,0.3544973544973545
New Kent County,95034.0,0,0,0.0
New London County,97443.5,43,35,0.171875
New Madrid County,39675.0,2,1,0.5
New York County,137917.0,0,0,0.0
Newaygo County,55338.0,1,1,0.09090909090909091
Newberry County,53216.5,2,2,0.25
Newport County,94562.5,18,10,0.13636363636363635
Newport News city,62096.0,39,18,0.2558139534883721
Newton County,53910.0,14,13,0.25
Nez Perce County,63535.5,7,4,0.0
Niagara County,68164.0,40,19,0.38333333333333336
Nicholas County,50592.0,0,0,0.4444444444444444
Nicollet County,82206.0,5,4,0.42857142857142855
Niobrara County,47083.0,0,0,0.0
Noble County,64261.0,6,3,0.23529411764705882
Nobles County,68789.5,3,2,0.16666666666666666
Nodaway County,63625.0,2,2,0.2
Nolan County,72250.0,3,1,0.2
Nome Census Area,61836.0,0,0,0.5
Norfolk County,124458.5,119,81,0.2923076923076923
Norfolk city,60000.0,66,24,0.2987012987012987
Norman County,66813.0,0,0,0.0
North Slope Borough,78490.5,0,0,1.0
Northampton County,78020.5,53,29,0.35526315789473684
Northumberland County,61630.0,5,3,0.3333333333333333
Northwest Arctic Borough,64073.0,1,0,0.5
Norton County,59038.0,0,0,0.0
Norton city,41652.0,1,1,1.0
Nottoway County,57288.0,0,0,0.6666666666666666
Nowata County,52352.0,1,1,0.25
Noxubee County,50924.0,1,0,0.6666666666666666
Nuckolls County,59618.0,0,0,0.0
Nueces County,63828.0,69,37,0.3037974683544304
Nye County,53857.0,6,6,0.3333333333333333
O'Brien County,68656.5,1,1,0.25
Oakland County,100250.0,301,168,0.11869436201780416
Obion County,53170.0,1,1,0.2
Ocean County,86146.0,109,87,0.2845528455284553
Oceana County,51576.0,1,1,0.14285714285714285
Ochiltree County,61638.0,2,0,0.0
Oconee County,67500.0,5,5,0.3333333333333333
Oconto County,62708.5,0,0,0.1
Ogemaw County,43750.0,0,0,0.14285714285714285
Ogle County,71386.0,4,3,0.18181818181818182
Oglethorpe County,54808.5,0,0,0.25
Ohio County,54827.0,15,6,0.2962962962962963
Okaloosa County,69653.0,37,25,0.24390243902439024
Okanogan County,53763.5,1,1,0.1
Okeechobee County,45313.0,6,6,0.09090909090909091
Okfuskee County,48367.0,1,0,0.0
Oklahoma County,57115.0,198,73,0.15319148936170213
Okmulgee County,52454.0,4,4,0.4
Oktibbeha County,62020.0,5,4,0.5
Oldham County,104743.0,6,6,0.06666666666666667
Oliver County,81652.0,0,0,0.0
Olmsted County,90238.0,23,12,0.18181818181818182
Oneida County,68354.0,36,17,0.26506024096385544
Onondaga County,73056.0,101,50,0.291970802919708
Onslow County,58176.0,19,17,0.3793103448275862
Ontario County,74266.0,10,4,0.36
Ontonagon County,52955.0,0,0,0.3333333333333333
Orange County,85492.0,720,261,0.1252676659528908
Orangeburg County,41180.0,8,8,0.7
Oregon County,41761.0,0,0,0.0
Orleans County,60323.5,3,2,0.35
Orleans Parish,48092.0,100,31,0.23076923076923078
Osage County,65487.5,4,3,0.2
Osborne County,66786.0,0,0,0.0
Osceola County,53200.0,33,23,0.32653061224489793
Oscoda County,48500.0,0,0,0.2
Oswego County,64286.0,7,4,0.3793103448275862
Otero County,49688.0,12,6,0.30434782608695654
Otoe County,82596.0,2,2,0.4
Otsego County,66321.0,8,6,0.4090909090909091
Ottawa County,74895.5,47,38,0.11842105263157894
Otter Tail County,68962.0,3,2,0.29411764705882354
Ouachita County,52117.0,3,3,0.8333333333333334
Ouachita Parish,50000.0,29,17,0.38461538461538464
Ouray County,74327.0,0,0,0.0
Outagamie County,76506.5,32,17,0.075
Overton County,49350.0,0,0,0.2857142857142857
Owen County,59568.5,0,0,0.0
Owsley County,44860.5,0,0,0.5
Owyhee County,50776.0,0,0,0.0
