County,MedianFamilyIncome,LATracts_half,LATracts1,HUNVFlag
Berrien County,59298.5,29,20,0.24074074074074073
Bertie County,45389.0,1,1,1.0
Bethel Census Area,45833.0,1,1,1.0
Bexar County,60971.5,324,196,0.31215469613259667
Bibb County,45391.0,39,23,0.5
Bienville Parish,34770.0,1,1,0.8
Big Horn County,56634.5,0,0,0.0
Big Stone County,71000.0,0,0,0.0
Billings County,106964.0,0,0,0.0
Bingham County,64112.0,3,3,0.125
Black Hawk County,68282.5,29,18,0.13157894736842105
Blackford County,52172.0,2,1,0.25
Bladen County,44455.5,1,1,1.0
Blaine County,59291.0,1,1,0.0
Blair County,63840.5,21,8,0.23529411764705882
Blanco County,66178.0,0,0,0.5
Bland County,66473.5,0,0,0.0
Bleckley County,54129.0,1,1,0.6666666666666666
Bledsoe County,57202.0,0,0,0.3333333333333333
Blount County,67298.0,13,9,0.2571428571428571
Blue Earth County,74567.5,9,6,0.3125
Boise County,66304.0,0,0,1.0
Bolivar County,33455.5,4,3,0.875
Bollinger County,57438.0,0,0,0.0
Bon Homme County,68802.0,0,0,0.0
Bond County,79224.0,1,1,0.25
Bonner County,55114.0,0,0,0.2222222222222222
Bonneville County,71250.0,17,11,0.2857142857142857
Boone County,75097.0,54,43,0.24444444444444444
Borden County,96691.0,0,0,0.0
Bosque County,54926.0,1,0,0.0
Bossier Parish,58966.5,16,12,0.36363636363636365
Botetourt County,86096.0,2,2,0.0
Bottineau County,76042.0,0,0,0.0
Boulder County,113050.0,55,19,0.08955223880597014
Boundary County,59740.5,0,0,0.0
Bourbon County,57969.0,4,3,0.18181818181818182
Bowie County,56756.0,11,7,0.3333333333333333
Bowman County,90208.5,0,0,0.0
Box Butte County,67135.0,2,1,0.3333333333333333
Box Elder County,66284.0,6,3,0.09090909090909091
Boyd County,63094.5,10,7,0.2857142857142857
Boyle County,64236.0,3,2,0.42857142857142855
Bracken County,65500.0,0,0,0.0
Bradford County,63047.5,4,2,0.4444444444444444
Bradley County,56458.5,14,12,0.3333333333333333
Branch County,59498.5,4,3,0.3333333333333333
Brantley County,45183.0,0,0,0.3333333333333333
Braxton County,52063.0,0,0,1.0
Brazoria County,79213.5,28,22,0.1
Brazos County,60195.0,31,18,0.2564102564102564
Breathitt County,31533.0,1,1,0.42857142857142855
Breckinridge County,60947.0,0,0,0.5
Bremer County,82981.0,2,1,0.0
Brevard County,66591.0,100,78,0.2882882882882883
Brewster County,55486.0,2,1,0.0
Briscoe County,54200.0,0,0,0.0
Bristol Bay Borough,98472.0,0,0,0.0
Bristol County,80569.5,103,56,0.375
Bristol city,45045.5,4,3,0.75
Broadwater County,67309.0,0,0,0.0
Bronx County,41946.0,12,0,0.021406727828746176
Brooke County,61039.0,2,2,0.5
Brookings County,86085.0,4,4,0.3333333333333333
Brooks County,44609.0,2,2,0.14285714285714285
Broome County,65748.5,30,12,0.3333333333333333
Broomfield County,100884.0,15,10,0.06666666666666667
Broward County,65338.5,318,72,0.21388888888888888
Brown County,69386.0,62,35,0.19
Brule County,54509.0,0,0,0.0
Brunswick County,69892.5,15,14,0.19444444444444445
Bryan County,58958.0,6,4,0.17647058823529413
Buchanan County,57423.5,22,14,0.34210526315789475
Buckingham County,53685.0,0,0,0.25
Bucks County,102827.5,112,73,0.14084507042253522
